AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,SBP
1,1,1,1,16,2,10,3,1,1,0,7,7,6,3,7,0,3,0,4,171,25,107,61,59,39,84,92,57,35,1,1,1,1,0,0.36,7,7,7,7,0
1,1,1,1,4,0,4,0,1,0,0,4,4,3,2,3,0,0,0,3,54,5,32,16,12,17,14,18,14,4,1,1,1,1,0,0.53,4,4,4,4,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,1,2,2,0,17,1,2,2,0,0,0,0,0,0,8.5,0,0,0,0,0
1,1,2,1,8,0,7,1,5,2,4,11,13,11,3,13,2,1,4,6,167,17,97,39,48,53,36,56,31,25,3,3,5,3,1,0.55,20,20,22,17,0
2,2,2,1,14,0,8,5,1,0,0,4,7,6,0,6,0,0,0,6,115,6,33,11,17,77,15,22,10,12,4,4,4,1,1,2.33,8,8,8,4,0
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,34,2,5,4,0,27,2,3,3,0,0,0,0,0,0,5.4,0,0,0,0,0
2,2,2,1,13,0,8,4,5,1,1,31,31,30,7,31,1,1,1,28,486,46,274,72,159,167,126,194,80,114,8,8,10,8,4,0.61,67,67,72,38,0
3,3,4,1,23,2,17,3,1,21,0,22,22,1,0,22,0,6,0,16,578,74,393,95,275,112,229,312,97,215,36,36,50,10,5,0.28,81,81,100,33,1
2,2,2,1,14,0,11,2,5,1,0,51,51,50,14,51,2,8,6,35,953,115,626,173,436,212,377,512,191,321,11,11,12,9,4,0.34,135,135,140,84,0
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,49,4,5,4,0,40,3,4,4,0,0,0,0,0,0,8,0,0,0,0,0
1,1,1,1,8,0,5,2,1,0,1,12,12,12,5,12,0,0,1,11,172,19,92,41,41,62,52,74,33,41,8,8,8,8,2,0.67,22,22,22,19,0
4,4,6,3,28,1,17,10,1,0,0,9,9,9,11,9,0,6,2,1,341,22,185,48,117,138,109,149,48,101,10,10,13,7,4,0.75,43,43,54,28,0
5,5,5,2,24,0,19,3,3,14,1,17,17,3,5,17,0,5,0,12,527,39,364,102,237,124,202,298,109,189,18,18,19,7,5,0.34,90,88,98,41,0
